2019-03-04 12:34:21, E:\PES\TEST\video\V0801\393943.avi, 2019-03-04 12:34:40, 386571, 2019-03-04 12:34:40
2019-03-04 12:34:41, E:\PES\TEST\video\V0801\46548.avi, 2019-03-04 12:34:56, 24683, 2019-03-04 12:34:58
2019-03-04 12:34:59, E:\PES\TEST\video\V0801\375205.avi, 2019-03-04 12:35:22, 372689, 2019-03-04 12:35:24
2019-03-04 12:35:25, E:\PES\TEST\video\V0801\46401.avi, 2019-03-04 12:35:41, 24664, 2019-03-04 12:35:42
2019-03-04 12:35:45, E:\PES\TEST\video\V0801\121842.avi, 2019-03-04 12:36:04, 25073, 2019-03-04 12:36:05
2019-03-04 12:36:06, E:\PES\TEST\video\V0801\388322.avi, 2019-03-04 12:36:26, 386593, 2019-03-04 12:36:26
2019-03-04 12:36:27, E:\PES\TEST\video\V0801\46727.avi, 2019-03-04 12:36:41, 24536, 2019-03-04 12:36:41
2019-03-04 12:36:41, E:\PES\TEST\video\V0801\46895.avi, 2019-03-04 12:36:52, 24561, 2019-03-04 12:36:52
2019-03-04 12:36:52, E:\PES\TEST\video\V0801\121218.avi, 2019-03-04 12:37:05, 25239, 2019-03-04 12:37:06
2019-03-04 12:37:07, E:\PES\TEST\video\V0801\121220.avi, 2019-03-04 12:37:16, 25020, 2019-03-04 12:37:18
2019-03-04 12:37:19, E:\PES\TEST\video\V0801\46176.avi, 2019-03-04 12:37:28, 24794, 2019-03-04 12:37:30
2019-03-04 12:37:31, E:\PES\TEST\video\V0801\46035.avi, 2019-03-04 12:37:45, 25166, 2019-03-04 12:37:46
2019-03-04 12:37:48, E:\PES\TEST\video\V0801\46780.avi, 2019-03-04 12:37:57, 24545, 2019-03-04 12:37:58
2019-03-04 12:38:00, E:\PES\TEST\video\V0801\46883.avi, 2019-03-04 12:38:37, 25494, 2019-03-04 12:38:37
2019-03-04 12:38:38, E:\PES\TEST\video\V0801\46509.avi, 2019-03-04 12:39:06, 25464, 2019-03-04 12:39:08
2019-03-04 12:39:08, E:\PES\TEST\video\V0801\47038.avi, 2019-03-04 12:39:19, 24253, 2019-03-04 12:39:20
2019-03-04 12:39:20, E:\PES\TEST\video\V0801\121372.avi, 2019-03-04 12:39:30, 25028, 2019-03-04 12:39:31
2019-03-04 12:39:32, E:\PES\TEST\video\V0801\121389.avi, 2019-03-04 12:39:42, 25632, 2019-03-04 12:39:42
2019-03-04 12:39:43, E:\PES\TEST\video\V0801\178459.avi, 2019-03-04 12:39:55, 174459, 2019-03-04 12:39:55
2019-03-04 12:39:57, E:\PES\TEST\video\V0801\46653.avi, 2019-03-04 12:40:15, 25484, 2019-03-04 12:40:17
2019-03-04 12:40:19, E:\PES\TEST\video\V0801\46478.avi, 2019-03-04 12:40:36, 25341, 2019-03-04 12:40:38
2019-03-04 12:40:39, E:\PES\TEST\video\V0801\46457.avi, 2019-03-04 12:40:49, 24947, 2019-03-04 12:40:51
2019-03-04 12:40:53, E:\PES\TEST\video\V0801\393985.avi, 2019-03-04 12:41:11, 386615, 2019-03-04 12:41:13
2019-03-04 12:41:13, E:\PES\TEST\video\V0801\46341.avi, 2019-03-04 12:41:22, 24517, 2019-03-04 12:41:24
